date,service,language,name_object_count,name_values_count,name_users_count,src_name_object_count,src_name_values_count,src_name_users_count
2016-03-01,fr,br,15012,,,,,
2017-08-03,fr,br,18681,,,3536,,
2017-08-03,fr,eu,229,,,0,,
2017-08-03,fr,oc,2937,,,222,,
2017-08-03,fr,gsw,1809,,,0,,
2017-08-03,fr,ca,5561,,,0,,
2017-08-03,fr,co,172,,,0,,
2017-09-02,fr,br,19521,,,3925,,
2017-09-02,fr,eu,2240,,,0,,
2017-09-02,fr,oc,3313,,,287,,
2017-09-02,fr,gsw,1797,,,0,,
2017-09-02,fr,ca,5570,,,0,,
2017-09-02,fr,co,172,,,0,,
2017-10-05,fr,br,21186,,,,,
2017-10-05,fr,eu,2292,,,,,
2017-10-05,fr,oc,3278,,,,,
2017-10-05,fr,gsw,1809,,,,,
2017-10-05,fr,ca,5584,,,,,
2017-10-05,fr,co,204,,,,,
2017-11-13,fr,br,24636,,,,,
2017-11-13,fr,eu,2404,,,,,
2017-11-13,fr,oc,3441,,,,,
2017-11-13,fr,gsw,1813,,,,,
2017-11-13,fr,ca,5675,,,,,
2017-11-13,fr,co,204,,,,,
2017-12-02,fr,br,25939,,,8862,,
2017-12-02,fr,eu,2424,,,0,,
2017-12-02,fr,oc,3449,,,424,,
2017-12-02,fr,gsw,1826,,,0,,
2017-12-02,fr,ca,5707,,,0,,
2017-12-02,fr,co,204,,,0,,
2018-01-03,fr,br,28231,15498,574,9485,94,163
2018-01-03,fr,eu,2424,1449,,0,0,
2018-01-03,fr,oc,3668,2029,,587,58,
2018-01-03,fr,gsw,1832,851,,0,0,
2018-01-03,fr,ca,5787,3313,,0,0,
2018-01-03,fr,co,206,127,,0,0,
2018-01-03,fr,frp,190,108,,0,0,
2018-01-03,fr,vls,36,23,,0,0,
2018-01-03,fr,frk,0,0,,0,0,
2018-01-03,fr,fr-x-gallo,9,5,,0,0,
2018-01-03,fr,fr-x-norman,11,6,,0,0,
2018-01-03,org,gcf,538,426,,0,0,
2018-01-03,org,gyn,0,0,,0,0,
2018-01-03,org,gcr,0,0,,0,0,
2018-01-03,org,ty,122,81,,0,0,
2018-02-02,fr,br,29744,16320,,10328,97,
2018-02-02,fr,eu,2425,1448,,0,0,
2018-02-02,fr,oc,3670,2031,,587,58,
2018-02-02,fr,gsw,1835,854,,0,0,
2018-02-02,fr,ca,5804,3331,,0,0,
2018-02-02,fr,co,215,135,,0,0,
2018-02-02,fr,frp,202,119,,0,0,
2018-02-02,fr,vls,36,23,,0,0,
2018-02-02,fr,frk,0,0,,0,0,
2018-02-02,fr,fr-x-gallo,57,30,,0,0,
2018-02-02,fr,fr-x-norman,11,6,,0,0,
2018-02-02,org,gcf,541,426,,0,0,
2018-02-02,org,gyn,0,0,,0,0,
2018-02-02,org,gcr,0,0,,0,0,
2018-02-02,org,ty,122,82,,0,0,
2018-03-02,fr,br,31472,17382,,10536,99,
2018-03-02,fr,eu,2466,1453,,0,0,
2018-03-02,fr,oc,3687,2036,,596,58,
2018-03-02,fr,gsw,1866,858,,0,0,
2018-03-02,fr,ca,5829,3342,,0,0,
2018-03-02,fr,co,227,144,,0,0,
